file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00315_1579_8216476_to_8221868,དེ་ལྟར་མངོན་འདོད་ཀྱི་དད་པ་ཞིག་བྱུང་ན་དངོས་གནས་ངོ་མཚར་བ་ཞིག་འོང་།  ,de ltar mngon 'dod kyi dad pa zhig byung na dngos gnas ngo mtshar ba zhig 'ong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1579_8216476_to_8221868.wav,STT_AB,2,66,5.392,wav16k/STT_AB00315_1579_8216476_to_8221868.wav,དེ་ལྟར་མངོན་འདོད་ཀྱི་དད་པ་ཞིག་བྱུང་ན་དངོས་གནས་ངོ་མཚར་བ་ཞིག་ཡོང་།
STT_AB00315_1574_8177602_to_8187730,ཕྱི་པ་དང་ནང་པའི་ཁྱད་པར་སྐྱབས་འགྲོས་འབྱེད་པ་དང་། སྐྱབས་འགྲོ་ལ་རིམ་པ་མང་པོ་ཞིག་ཡོད་པ་དང་། སྐྱབས་འགྲོ་རྣལ་མའམ། ཡང་དག་པ་ཞིག་ཡོང་བར་གཞུང་འདི་ ,phyi pa dang nang pa'i khyad par skyabs 'gros 'byed pa dang /_skyabs 'gro la rim pa mang po zhig yod pa dang /_skyabs 'gro rnal ma'am/_yang dag pa zhig yong bar gzhung 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1574_8177602_to_8187730.wav,STT_AB,2,137,10.128,wav16k/STT_AB00315_1574_8177602_to_8187730.wav,ཕྱི་པ་དང་ནང་པའི་ཁྱད་པར་སྐྱབས་འགྲོས་འབྱེད་པ་དང་། སྐྱབས་འགྲོ་ལ་རིམ་པ་མང་པོ་ཞིག་ཡོད་པ་དང་། སྐྱབས་འགྲོ་རྣལ་མའམ་ཡང་དག་པ་ཞིག་ཡོང་བར་གཞུང་འདིར་
STT_AB00315_1577_8207568_to_8213745,ཨེ་མ་དེ་འདྲའི་མྱང་འདས་འདི་ཅིས་ཀྱང་ཐོབ་ན་དགའ་བ་ལ་སྙམ་པའི་སེམས་ལ་སྤྲོ་བ་ཞིག་དང་།  ,e ma de 'dra'i myang 'das 'di cis kyang thob na dga' ba la snyam pa'i sems la spro ba zhig dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1577_8207568_to_8213745.wav,STT_AB,2,80,6.177,wav16k/STT_AB00315_1577_8207568_to_8213745.wav,ཨེ་མ། དེ་འདྲའི་མྱང་འདས་འདི་ཅིས་ཀྱང་ཐོབ་ན་དགའ་བ་ལ་སྙམ་པའི་སེམས་ལ་སྤྲོ་བ་ཞིག་དང་།
STT_AB00315_1573_8170691_to_8177346,ཚུལ་དེའི་ཐོག་ནས་སྟོང་པ་ཉིད་ཅེས་པ་འདི་གལ་ཆེན་པོ་ཡིན་པ་གཞི་ནས་ཤེས་ཚོར་ཡོང་ཞིང་།  ,tshul de'i thog nas stong pa nyid ces pa 'di gal chen po yin pa gzhi nas shes tshor yong zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1573_8170691_to_8177346.wav,STT_AB,2,79,6.655,wav16k/STT_AB00315_1573_8170691_to_8177346.wav,ཚུལ་དེའི་ཐོག་ནས་སྟོང་པ་ཉིད་ཅེས་པ་འདི་གལ་ཆེན་པོ་ཞིག་ཡིན་པ་གཞི་ནས་ཤེས་ཚོར་ཡོང་ཞིང་།
STT_AB00315_1774_9524940_to_9526800,ཁྱེད་ཀྱིས་སྟོང་པ་ཉིད་ཀྱི་དགོས་པ་དང་།  ,khyed kyis stong pa nyid kyi dgos pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1774_9524940_to_9526800.wav,STT_AB,2,38,1.86,wav16k/STT_AB00315_1774_9524940_to_9526800.wav,ཁྱོད་ཀྱིས་སྟོང་པ་ཉིད་ཀྱི་དགོས་པ་དང་།
STT_AB00315_1588_8293319_to_8301279,མྱུ་གུའི་ས་བོན་ལས་མྱུ་གུ་སྐྱེ་བ་དང་། མྱུ་གུའི་ས་བོན་ལས་མི་མི་སྐྱེ་བ་འདི་མི་འཐད་ལ། དེ་ལྟར་འཐད་པ་ནི་ ,myu gu'i sa bon las myu gu skye ba dang /_myu gu'i sa bon las mi mi skye ba 'di mi 'thad la/_de ltar 'thad pa ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1588_8293319_to_8301279.wav,STT_AB,2,99,7.96,wav16k/STT_AB00315_1588_8293319_to_8301279.wav,མྱུ་གུའི་ས་བོན་ལས་མྱུ་གུ་སྐྱེ་བ་དང་། མྱུ་གུའི་ས་བོན་ལས་མི་མི་སྐྱེ་བ་འདི་མི་འཐད་ལ། དེ་ལྟར་འཐད་པ་ནི་
STT_AB00500_0096_386988_to_389889,དེའི་སྒང་ལ། རི་བོའི་དཔའ་བོ། ཞེས་བཀོད་ཡོད།  ,de'i sgang la/_ri bo'i dpa' bo/_zhes bkod yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00500_0096_386988_to_389889.wav,STT_AB,2,43,2.901,wav16k/STT_AB00500_0096_386988_to_389889.wav,དེའི་སྒང་ལ་རི་བོའི་དཔའ་བོ་ཞེས་བཀོད་ཡོད།
STT_AB00315_1589_8301279_to_8309240,ཁོ་རང་བློས་བཏགས་ཙམ་མ་ཡིན་པར། དོན་གྱི་སྟེང་ནས་རང་བཞིན་ནམ་ཡིན་ལུགས་ཤིག་ཡོད་པ་ལ་བརྟེན་ནས་འབྱུང་ཞིང་།  ,kho rang blos btags tsam ma yin par/_don gyi steng nas rang bzhin nam yin lugs shig yod pa la brten nas 'byung zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1589_8301279_to_8309240.wav,STT_AB,2,99,7.961,wav16k/STT_AB00315_1589_8301279_to_8309240.wav,ཁོ་རང་བློས་བཏགས་ཙམ་མ་ཡིན་པར་དོན་གྱི་སྟེང་ནས་རང་བཞིན་ནམ་ཡིན་ལུགས་ཤིག་ཡོད་པ་ལ་བརྟེན་ནས་འབྱུང་ཞིང་།
STT_AB00315_1594_8332013_to_8340554,དེ་ལྟར་ན་ཆོས་དང་འཇིག་རྟེན་གྱི་རྣམ་གཞག་གང་དང་གང་ཡིན་ཡང་ཁྱེད་རང་གི་ལུགས་ལ་འཇོག་མི་ཤེས་པར་འགྱུར་རོ་ཞེས་སྨྲའོ།  ,de ltar na chos dang 'jig rten gyi rnam gzhag gang dang gang yin yang khyed rang gi lugs la 'jog mi shes par 'gyur ro zhes smra'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1594_8332013_to_8340554.wav,STT_AB,2,108,8.541,wav16k/STT_AB00315_1594_8332013_to_8340554.wav,དེ་ལྟར་ན་ཆོས་དང་འཇིག་རྟེན་གྱི་རྣམ་གཞག་གང་དང་གང་ཡིན་ཡང་ཁྱེད་རང་གི་ལུགས་ལ་འཇོག་མི་ཤེས་པར་འགྱུར་རོ་ཞེས་སྨྲའོ།
STT_AB00315_1604_8418728_to_8426015,དེ་བཞིན་དངོས་པོར་སྨྲ་བ་སེམས་ཙམ་པའི་འདོད་ཚུལ་རྩ་བའི་དགོངས་པ་འདི་འདྲ་ཞིག་ཀླུ་སྒྲུབ་ཞལ་བཞུགས་པའི་སྐབས་སུ་ཡོད་པ་ཡིན།  ,de bzhin dngos por smra ba sems tsam pa'i 'dod tshul rtsa ba'i dgongs pa 'di 'dra zhig klu sgrub zhal bzhugs pa'i skabs su yod pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00315_1604_8418728_to_8426015.wav,STT_AB,2,114,7.287,wav16k/STT_AB00315_1604_8418728_to_8426015.wav,དེ་བཞིན་དངོས་པོར་སྨྲ་བ་སེམས་ཙམ་པས་འདོད་ཚུལ་རྩ་བའི་དགོངས་པ་འདི་འདྲ་ཞིག་ཀླུ་སྒྲུབ་ཞལ་བཞུགས་པའི་སྐབས་སུ་ཡོད་པ་ཡིན།
